Name,Player
Ajit Agarkar,A Agarkar
Abu Nechim,A Ahmed
Ashish Reddy,A AshishReddy
Ayush Badoni,A Badoni
Adrian Barath,A Barath
Ankit Bawne,A Bawne
Azhar Bilakhia,A Bilakhia
Aiden Blizzard,A Blizzard
Alex Carey,A Carey
Ajit Chandila,A Chandila
Ankeet Chavan,A Chavan
Aakash Chopra,A Chopra
Aniket Choudhary,A Choudhary
Akila Dananjaya,A Dananjaya
Akash Deep,A Deep
AB de Villiers,A deVilliers
Ashok Dinda,A Dinda
Aditya Dole,A Dole
Aaron Finch,A Finch
Andrew flintoff,A Flintoff
Arindam Ghosh,A Ghosh
Adam Gilchrist,A Gilchrist
Alex Hales,A Hales
Abhishek Jhunjhunwala,A Jhunjhunwala
Alzarri Joseph,A Joseph
Abrar Kazi,A Kazi
Anil Kumble,A Kumble
Azhar Mahmood,A Mahmood
Anustup Majumdar,A Majumdar
Abhinav Manohar Sadarangani,A Manohar
Aiden Markram,A Markram
Dimitri Mascarenhas,A Mascarenhas
Angelo Mathews,A Mathews
Andrew McDonald,A McDonald
Ashok Menaria,A Menaria
Adam Milne,A Milne
Amit Mishra,A Mishra
Abhimanyu Mithun,A Mithun
Abhinav Mukund,A Mukund
Ali Murtaza,A Murtaza
Akshdeep Nath,A Nath
Abhishek Nayar,A Nayar
Ashish Nehra,A Nehra
Andre Nel,A Nel
Ashley Noffke,A Noffke
Anrich Nortje,A Nortje
Axar Patel,A Patel
Asad Pathan,A Pathan
Amit paunikar,A Paunikar
Ajinkya Rahane,A Rahane
Anand Rajan,A Rajan
Ankit Rajpoot,A Rajpoot
Adil Rashid,A Rashid
Abhishek Raut,A Raut
Anuj Rawat,A Rawat
Ambati Rayudu,A Rayudu
Abdur Razzak,A Razzak
Anukul Roy,A Roy
Andre Russell,A Russell
Aavishkar Salvi,A Salvi
Ankit Sharma,A Sharma
Amit Singh,A Singh
Ankit Soni,A Soni
Andrew Symonds,A Symonds
Aditya Tare,A Tare
Alfonso Thomas,A Thomas
Abhijeet Tomar,A Tomar
Ashton Turner,A Turner
Andrew Tye,A Tye
Amit Uniyal,A Uniyal
Adam Voges,A Voges
Arjun Yadav,A Yadav
Adam Zampa,A Zampa
Abdul Samad,Abdul Samad
Abhishek Sharma,Abhishek Sharma
Aman Khan,AH Khan
Akash Singh,AM Singh
Anirudh Singh,Anirudh Singh
Anmolpreet Singh,Anmolpreet Singh
Anureet Singh,Anureet Singh
Arshdeep Singh,Arshdeep Singh
Anukul Roy,AS Roy
Avesh Khan,Avesh Khan
Balachandra Akhil,B Akhil
Bhargav Bhatt,B Bhatt
Bharat Chipli,B Chipli
Ben Cutting,B Cutting
Ben Dunk,B Dunk
Brett Geeves,B Geeves
Brad Haddin,B Haddin
Beuran Hendricks,B Hendricks
Ben Hilfenhaus,B Hilfenhaus
Brad Hodge,B Hodge
Baba Indrajith,B Indrajith
Bhuvneshwar kumar,B Kumar
Ben Laughlin,B Laughlin
Brett Lee,B Lee
Brendon McCullum,B McCullum
Ajantha Mendis,B Mendis
Bhanuka Rajapaksa,B Rajapaksa
Ben Rohrer,B Rohrer
Biplab Samantray,B Samantray
Bipul Sharma,B Sharma
Barinder Sran,B Sran
Billy Stanlake,B Stanlake
Ben Stokes,B Stokes
B Sai Sudarshan,B Sudharsan
Bodapati Sumanth,B Sumanth
Basil Thampi,B Thampi
Jeevan Mendis,BMAJ Mendis
Corey Anderson,C Anderson
Carlos Brathwaite,C Brathwaite
Colin De Grandhomme,C deGrandhomme
Callum Ferguson,C Ferguson
Dilhara Fernando,C Fernando
Chandrasekar Ganapathy,C Ganapathy
Chidhambaram Gautam,C Gautam
Chris Gayle,C Gayle
Colin Ingram,C Ingram
Chris Jordan,C Jordan
Chamara Kapugedera,C Kapugedera
Charl Langeveldt,C Langeveldt
Chris Lynn,C Lynn
Chandan Madan,C Madan
Clint McKay,C McKay
Chris Morris,C Morris
Colin Munro,C Munro
Chetanya Nanda,C Nanda
Cheteshwar Pujara,C Pujara
Chetan Sakariya,C Sakariya
Cameron White,C White
Chris Woakes,C Woakes
Chris Green,CJ Green
Varun Chakravarti,CV Varun
Doug Bollinger,D Bollinger
Doug Bracewell,D Bracewell
Dwayne Bravo,D Bravo
Dewald Brevis,D Brevis
Deepak Chahar,D Chahar
Dushmantha Chameera,D Chameera
Daniel Christian,D Christian
Devon Conway,D Conway
Debabrata Das,D Das
D Du Preez,D duPreez
Daniel Harris,D Harris
Deepak Hooda,D Hooda
David Hussey,D Hussey
Davy Jacobs,D Jacobs
Mahela Jayawardene,D Jayawardene
Doddapaneni Kalyankrishna,D Kalyankrishna
Dhawal Kulkarni,D Kulkarni
Darren Lehmann,D Lehmann
Dawid Malan,D Malan
Damien Martyn,D Martyn
David Miller,D Miller
Domnic Joseph,D Muthuswami
Dirk Nannes,D Nannes
Devdutt Padikkal,D Padikkal
Devraj Patil,D Patil
Dwaine Pretorius,D Pretorius
Dwaraka Ravi Teja,D RaviTeja
Dinesh Salunkhe,D Salunkhe
Darren Sammy,D Sammy
Dhruv Shorey,D Shorey
D'Arcy Short,D Short
Dwayne Smith,D Smith
Dale Steyn,D Steyn
Dominic Thornely,D Thornely
Daniel Vettori,D Vettori
Paidikalva Vijaykumar,D Vijaykumar
David Warner,D Warner
David Wiese,D Wiese
David Willey,D Willey
Dishant Yagnik,D Yagnik
Nuwan Zoysa,D Zoysa
Darshan Nalkande,DG Nalkande
Daryl Mitchell,DJ Mitchell
Darren Bravo,DM Bravo
Daniel Sams,DR Sams
Eklavya Dwivedi,E Dwivedi
Evin Lewis,E Lewis
Eoin Morgan,E Morgan
Fabian Allen,F Allen
Farhaan Behardien,F Behardien
Francois Du Plessis,F duPlessis
Fidel Edwards,F Edwards
Fazalhaq Farooqi,F Farooqi
Faiz Fazal,F Fazal
George Bailey,G Bailey
Gautam Gambhir,G Gambhir
George Garton,G Garton
Brad Hogg,G Hogg
Glenn Maxwell,G Maxwell
Glenn McGrath,G McGrath
Graham Napier,G Napier
Glenn Phillips,G Philips
Gurinder Sandhu,G Sandhu
Gurkeerat Singh,G Singh
Graeme Smith,G Smith
Gagandeep Singh,Gagandeep Singh
Hashim Amla,H Amla
Harpreet Brar,H Brar
Halhadar Das,H Das
Herschelle Gibbs,H Gibbs
Harry Gurney,H Gurney
Heinrich klaasen,H Klaasen
Hardik Pandya,H Pandya
Harshal Patel,H Patel
Harbhajan Singh,H Singh
Harmeet Singh,H Singh-2
Hanuma Vihari,H Vihari
Hardus Viljoen,H Viljoen
Harmeet Singh Bansal,Harmeet Singh
Harpreet Singh,Harpreet Singh
Harshit Rana,Harshit Rana
Rassie van der Dussen,HE van der Dussen
Hrithik Shokeen,HR Shokeen
Iqbal Abdulla,I Abdulla
Ishank Jaggi,I Jaggi
Ishan Kishan,I Kishan
Ishan Malhotra,I Malhotra
Ishwar Pandey,I Pandey
Irfan Pathan,I Pathan
Ishan Porel,I Porel
Ishant Sharma,I Sharma
Ish Sodhi,I Sodhi
Imran Tahir,I Tahir
Isuru Udana,I Udana
Jofra Archer,J Archer
Jagadeesh Arunkumar,J Arunkumar
Jonny Bairstow,J Bairstow
Jason Behrendorff,J Behrendorff
Johan Botha,J Botha
Jasprit Bumrah,J Bumrah
Jos Buttler,J Buttler
Junior Dala,J Dala
Joe Denly,J Denly
JP Duminy,J Duminy
James Faulkner,J Faulkner
James Franklin,J Franklin
John Hastings,J Hastings
Josh Hazlewood,J Hazlewood
Jason Holder,J Holder
James Hopes,J Hopes
Jacques Kallis,J Kallis
Justin Kemp,J Kemp
Albie Morkel,J Morkel
Jimmy Neesham,J Neesham
Jacob Oram,J Oram
James Pattinson,J Pattinson
Jhye Richardson,J Richardson
Jason Roy,J Roy
Jesse Ryder,J Ryder
Jalaj Saxena,J Saxena
Javon Searles,J Searles
Joginder Sharma,J Sharma
Jaskaran Singh,J Singh
Jagadeesha Suchith,J Suchith
Syed Mohammad,J SyedMohammad
Jerome Taylor,J Taylor
Juan Theron,J Theron
Jaydev Unadkat,J Unadkat
JJ Van Der Wath,J vanderWath
Jayant Yadav,J Yadav
Jitesh Sharma,JM Sharma
Joshua Philippe,JR Philippe
Kyle Abbott,K Abbott
Khaleel Ahmed,K Ahmed
Kamran Akmal,K Akmal
KP Appanna,K Appanna
Arun Karthik,K ArunKarthik
KM Asif,K Asif
KC Cariappa,K Cariappa
Kevon Cooper,K Cooper
Karan Goel,K Goel
Krishnappa Gowtham,K Gowtham
Kedar Jadhav,K Jadhav
Kyle Jamieson,K Jamieson
Dinesh Karthik,K Karthik
Kumar Kartikeya Singh,K Kartikeya
Kamran Khan,K Khan
Kulwant Khejroliya,K Khejroliya
Nuwan Kulasekara,K Kulasekara
Karun Nair,K Nair
Krunal Pandya,K Pandya
Keemo Paul,K Paul
Kevin Pietersen,K Pietersen
Kieron Pollard,K Pollard
Kagiso Rabada,K Rabada
Lokesh Rahul,K Rahul
Kane Richardson,K Richardson
kemar Roach,K Roach
Kumar Sangakkara,K Sangakkara
Krishmar Santokie,K Santokie
Kuldeep Sen,K Sen
Karn Sharma,K Sharma
Karanveer Singh,K Singh
Krishnakant Upadhyay,K Upadhyay
Kane Williamson,K Williamson
Kuldip Yadav,K Yadav
Kartik Tyagi,Kartik Tyagi
Kamlesh Nagarkoti,KL Nagarkoti
Srikar Bharat,KS Bharat
Karan Sharma,KS Sharma
Kuldeep Yadav,Kuldeep Yadav
Love Ablish,L Ablish
Lakshmipathy Balaji,L Balaji
La Carseldine,L Carseldine
Lockie Ferguson,L Ferguson
Liam Livingstone,L Livingstone
Lukman Hussain Meriwala,L Meriwala
Lungi Ngidi,L Ngidi
Liam Plunkett,L Plunkett
Luke Pomersbach,L Pomersbach
Luke Ronchi,L Ronchi
Laxmi Shukla,L Shukla
Chamara Silva,L Silva
Lendl Simmons,L Simmons
Ross Taylor,L Taylor
Luke Wright,L Wright
Lalit Yadav,L Yadav
Mayank Agarwal,M Agarwal
Moeen Ali,M Ali
Mohammad Ashraful,M Ashraful
Murugan Ashwin,M Ashwin
Mohammad Asif,M Asif
Manvinder Bisla,M Bisla
Mark Boucher,M Boucher
Mukesh Choudhary,M Choudhary
Michael Clarke,M Clarke
Marchant De Lange,M deLange
MS Dhoni,M Dhoni
Manpreet Gony,M Gony
Martin Guptill,M Guptill
Mohammad Hafeez,M Hafeez
Matthew Hayden,M Hayden
Moises Henriques,M Henriques
Matt Henry,M Henry
Michael Hussey,M Hussey
Marco Jansen,M Jansen
Mitchell Johnson,M Johnson
Manpreet Juneja,M Juneja
Mohammad Kaif,M Kaif
Murali Kartik,M Kartik
Musavir Khote,M Khote
Michael Klinger,M Klinger
Mahipal Lomror,M Lomror
Michael Lumb,M Lumb
Farveez Maharoof,M Maharoof
Mithun Manhas,M Manhas
Mayank Markande,M Markande
Mitchell Marsh,M Marsh
MItchell McClenaghan,M McClenaghan
Mohnish Mishra,M Mishra
Morne Morkel,M Morkel
Mashrafe Mortaza,M Mortaza
Muttiah Muralitharan,M Muralitharan
Mohammad Nabi,M Nabi
Michael Neser,M Neser
Makhaya Ntini,M Ntini
Manish Pandey,M Pandey
Munaf Patel,M Patel
Matheesha Prathirana,M Pathirana
Kusal Janith Perera,M Perera
Mustafizur Rahman,M Rahman
Mahesh Rawat,M Rawat
Marlon Samuels,M Samuels
Mitchell Santner,M Santner
Shahrukh Khan,M Shahrukh Khan
Mohammed Shami,M Shami
Mohit Sharma,M Sharma
Mandeep Singh,M Singh
Mohammed Siraj,M Siraj
Mitchell Starc,M Starc
Marcus Stoinis,M Stoinis
Maheesh Theekshana,M Theekshana
Manoj Tiwary,M Tiwary
Misbah-ul-Haq,M ulHaq
Mujeeb Ur Rahman,M UrRahman
Morne Van Wyk,M vanWyk
Murali Vijay,M Vijay
Manan Vohra,M Vohra
Matthew Wade,M Wade
Mark Wood,M Wood
Mohsin Khan,Mohsin Khan
Monu Kumar,Monu Kumar
Nathan Coulter-Nile,N CoulterNile
Nathan Coulter-Nile,N Coulter-Nile
Nayan Doshi,N Doshi
Nathan Ellis,N Ellis
Narayan Jagadeesan,N Jagadeesan
Nic Maddinson,N Maddinson
Nathan McCullum,N McCullum
Nikhil Naik,N Naik
Naman Ojha,N Ojha
Niraj Patel,N Patel
Thisara Perera,N Perera
Nicholas Pooran,N Pooran
Nitish Rana,N Rana
Nathan Rimmington,N Rimmington
Navdeep Saini,N Saini
Nathu singh,N Singh
Nitin Saini,Nitin Saini
Thiyagarajan,Not played
Owais Shah,O Shah
Odean Smith,O Smith
Oshane Thomas,O Thomas
Obed McCoy,OC McCoy
Palani Amarnath,P Amarnath
Parvinder Awana,P Awana
Piyush Chawla,P Chawla
Prashant Chopra,P Chopra
Paul Collingwood,P Collingwood
Pat Cummins,P Cummins
Paras Dogra,P Dogra
Praveen Dubey,P Dubey
Peter Handscomb,P Handscomb
Prasidh Krishna,P Krishna
Praveen Kumar,P Kumar
Pawan Negi,P Negi
Pragyan Ojha,P Ojha
P Parameswaran,P Parameswaran
Parthiv Patel,P Patel
Padmanabhan Prasanth,P Prasanth
Prithvi Raj Yara,P Raj
Parvez Rasool,P Rasool
Prayas Barman,P RBarman
Akshath Reddy,P Reddy
Pradeep Sahu,P Sahu
Pradeep Sangwan,P Sangwan
Sarvesh Kumar,P SarveshKumar
Pinal Shah,P Shah
Prithvi Shaw,P Shaw
Prabhsimran Singh,P Simran Singh
Pankaj Singh,P Singh
Prashant Solanki,P Solanki
Pawan Suyal,P Suyal
Pravin Tambe,P Tambe
Paul Valthaty,P Valthaty
Priyam Garg,PK Garg
Prerak Mankad,PN Mankad
Prithvi Shaw,PP Shaw
Quinton de Kock,Q deKock
Ravichandran Ashwin,R Ashwin
Raj Angad Bawa,R Bawa
Rajat Bhatia,R Bhatia
Raju Bhatkal,R Bhatkal
Ricky Bhui,R Bhui
Ravi Bishnoi,R Bishnoi
Ravi Bopara,R Bopara
RR Bose,R Bose
Rahul Chahar,R Chahar
Rishi Dhawan,R Dhawan
Rahul Dravid,R Dravid
RS Gavaskar,R Gavaskar
Raiphi Gomez,R Gomez
Ryan harris,R Harris
Ravindra Jadeja,R Jadeja
Rashid Khan,R Khan
Richard Levi,R Levi
Ryan Mclaren,R McLaren
Riley Meredith,R Meredith
Ronit More,R More
Ryan Ninan,R Ninan
Rishabh Pant,R Pant
Riyan Parag,R Parag
Ripal Patel,R Patel
Rajat Patidar,R Patidar
Robin Peterson,R Peterson
Ricky Ponting,R Ponting
Ramesh Powar,R Powar
Rovman Powell,R Powell
Ray Price,R Price
Rob Quiney,R Quiney
Rohan Raje,R Raje
Ravi Rampaul,R Rampaul
Rilee Rossouw,R Rossouw
Rasikh Dar,R Salam
Ramnaresh Sarwan,R Sarwan
Rajagopal Sathish,R Sathish
Ra Shaikh,R Shaikh
Rahul Sharma,R Sharma
Romario Shepherd,R Shepherd
Rahul Shukla,R Shukla
R.P.Singh,R Singh
Rs Sodhi,R Sodhi
Ryan ten Doeschate,R tenDoeschate
Rahul Tewatia,R Tewatia
Rahul Tripathi,R Tripathi
Robin Uthappa,R Uthappa
Roelof Van der Merwe,R vanderMerwe
Vinay Kumar,R VinayKumar
Ramandeep Singh,Ramandeep Singh
Rasikh Dar,Rasikh Salam
Ravi Bishnoi,Ravi Bishnoi
RutuRaj Gaikwad,RD Gaikwad
Rohit Sharma,RG Sharma
Rinku Singh,RK Singh
Sneha Kishore,RS Kishore
Sanjay Yadav,RS Yadav
Sean Abbott,S Abbott
Shahid Afridi,S Afridi
Shubham Agarwal,S Agarwal
Shoaib Ahmed,S Ahmed
Shoaib Akhtar,S Akhtar
Shakib Al Hasan,S AlHasan
Anirudha Srikkanth,S Anirudha
Sreenath Aravind,S Aravind
Swapnil Asnodkar,S Asnodkar
Sachin Baby,S Baby
Samuel Badree,S Badree
S Badrinath,S Badrinath
Sanjay Bangar,S Bangar
Sam billings,S Billings
Stuart Binny,S Binny
SM Boland,S Boland
Shane Bond,S Bond
Salman Butt,S Butt
Shivnarine Chanderpaul,S Chanderpaul
Siddharth Chitnis,S Chitnis
Sheldon Cottrell,S Cottrell
Sam Curran,S Curran
Shikhar Dhawan,S Dhawan
Shivam Dubey,S Dube
Stephen Fleming,S Fleming
Sourav Ganguly,S Ganguly
Shubman Gill,S Gill
Shreyas Gopal,S Gopal
Shreevats Goswami,S Goswami
Sunny Gupta,S Gupta
Shane Harwood,S Harwood
Shimron hetmyer,S Hetmyer
Shreyas Iyer,S Iyer
Sheldon Jackson,S Jackson
Shadab Jakati,S Jakati
Sanath Jayasuriya,S Jayasuriya
Sunil Joshi,S Joshi
Simon Katich,S Katich
Siddharth Kaul,S Kaul
S Kaushik,S Kaushik
Sarfaraz Khan,S Khan
Scott Kuggeleijn,S Kuggeleijn
Siddhesh Lad,S Lad
Sarabjit Ladda,S Ladda
Sandeep Lamichhane,S Lamichhane
Shoaib Malik,S Malik
Lasith Malinga,S Malinga
Shaun Marsh,S Marsh
Shivam Mavi,S Mavi
Sudhesan Midhun,S Midhun
Shrikant Mundhe,S Mundhe
Shahbaz Nadeem,S Nadeem
Sunil Narine,S Narine
Sumit Narwal,S Narwal
Shaun Pollock,S Pollock
Suyash Prabhudessai,S Prabhudesai
Suresh Raina,S Raina
Sachin Rana,S Rana
Suraj Randiv,S Randiv
Sherfane Rutherford,S Rutherford
Sanju Samson,S Samson
Sachithra Senanayake,S Senanayake
Shoaib Shaikh,S Shaikh
Sandeep Sharma,S Sharma
Sunny Singh,S Singh
Steven Smith,S Smith
Sunny Sohal,S Sohal
Shanthakumaran Sreesanth,S Sreesanth
Sridharan Sriram,S Sriram
Shalabh Srivastava,S Srivastava
Scott Styris,S Styris
Shaun Tait,S Tait
Sohail Tanvir,S Tanvir
Sachin Tendulkar,S Tendulkar
Shardul Thakur,S Thakur
Saurabh Tiwary,S Tiwary
Siddharth Trivedi,S Trivedi
Sudeep Tyagi,S Tyagi
Vidyut Sivaramakrishnan,S Vidyut
Shrikant Wagh,S Wagh
Shane Warne,S Warne
Sandeep Warrier,S Warrier
Shane Watson,S Watson
SuryaKumar Yadav,S Yadav
Shahbaz Ahamad,Shahbaz Ahmed
Shashank Singh,Shashank Singh
Shivam Mavi,Shivam Mavi
Shivam Sharma,Shivam Sharma
Shubman Gill,Shubman Gill
Simarjeet Singh,Simarjeet Singh
Sandeep Warrier,SS Warrier
Swapnil Singh,Swapnil Singh
Tom Banton,T Banton
Tejas Baroka,T Baroka
Travis Birt,T Birt
Trent Boult,T Boult
Tom Curran,T Curran
Tim David,T David
Tillakaratne Dilshan,T Dilshan
Travis Head,T Head
Tyron Henderson,T Henderson
Taruwar Kohli,T Kohli
Tymal Mills,T Mills
T Natarajan,T Natarajan
Tim Paine,T Paine
Tim Seifert,T Seifert
Tabraiz Shamsi,T Shamsi
Tim Southee,T Southee
Tanmay Srivastava,T Srivastava
T Stubbs,T Stubbs
TP Sudhindra,T Sudhindra
Tirumalasetti Suman,T Suman
Tatenda Taibu,T Taibu
T Tushara,T Thushara
Tilak Varma,Tilak Varma
Tushar Deshpande,TU Deshpande
Udit Birla,U Birla
Unmukt Chand,U Chand
Umar Gul,U Gul
Uday Kaul,U Kaul
Usman Khawaja,U Khawaja
Umran Malik,U Malik
Umesh Yadav,U Yadav
Varun Aaron,V Aaron
Vaibhav Arora,V Arora
Varun Chakravarti,V Chakravarthy
Venkatesh Iyer,V Iyer
Virat Kohli,V Kohli
VVS Laxman,V Laxman
Yo Mahesh,V Mahesh
Vikramjeet Malik,V Malik
Veer Pratap Singh,V PratapSingh
Virender Sehwag,V Sehwag
Vijay Shankar,V Shankar
Virat Singh,V Singh
Vishnu Vinod,V Vinod
Vikrant Yeligati,V Yeligati
Vijay Zol,V Zol
Vikram Singh,VRV Singh
Wanindu Hasaranga,W Hasaranga
Wasim Jaffer,W Jaffer
Wilkin Mota,W Mota
Wayne Parnell,W Parnell
Wriddhiman Saha,W Saha
Washington Sundar,W Sundar
Chaminda Vaas,W Vaas
Thalaivan Sargunam,X ThalaivanSargunam
Yusuf Abdulla,Y Abdulla
Yuzvendra Chahal,Y Chahal
Yash Dayal,Y Dayal
Gnaneswara Rao,Y GnaneswaraRao
Younis Khan,Y Khan
Yogesh Nagar,Y Nagar
Yusuf Pathan,Y Pathan
Yuvraj Singh,Y Singh
Yogesh Takawale,Y Takawale
Venugopal Rao,Y VenugopalRao
Yashpal Singh,Yashpal Singh
Yashasvi Jaiswal,YBK Jaiswal
Zaheer Khan,Z Khan
